match,team,opponent,team_score,opponent_score,result
AtleticoMadrid_GironaFC,AtleticoMadrid,GironaFC,2.0,2.0,win
GironaFC_AtleticoMadrid,GironaFC,AtleticoMadrid,2.0,2.0,loss
GironaFC_AtleticoMadrid,GironaFC,AtleticoMadrid,2.0,2.0,loss
AtleticoMadrid_GironaFC,AtleticoMadrid,GironaFC,2.0,2.0,win
Sevilla_AthleticClub,Sevilla,AthleticClub,1.0,2.0,draw
AthleticClub_Sevilla,AthleticClub,Sevilla,2.0,1.0,draw
AthleticClub_Sevilla,AthleticClub,Sevilla,2.0,1.0,draw
Sevilla_AthleticClub,Sevilla,AthleticClub,1.0,2.0,draw
Getafe_RealMadrid,Getafe,RealMadrid,0.0,1.0,loss
RealMadrid_Getafe,RealMadrid,Getafe,1.0,0.0,win
RealMadrid_Getafe,RealMadrid,Getafe,1.0,0.0,win
Getafe_RealMadrid,Getafe,RealMadrid,0.0,1.0,loss
RealValladolid_RealBetis,RealValladolid,RealBetis,0.0,0.0,draw
RealBetis_RealValladolid,RealBetis,RealValladolid,0.0,0.0,draw
RealBetis_RealValladolid,RealBetis,RealValladolid,0.0,0.0,draw
RealValladolid_RealBetis,RealValladolid,RealBetis,0.0,0.0,draw
Cadiz_Espanyol,Cadiz,Espanyol,2.0,2.0,draw
Espanyol_Cadiz,Espanyol,Cadiz,2.0,2.0,draw
Espanyol_Cadiz,Espanyol,Cadiz,2.0,2.0,draw
Cadiz_Espanyol,Cadiz,Espanyol,2.0,2.0,draw
RealSociedad_Villarreal,RealSociedad,Villarreal,2.0,1.0,win
Villarreal_RealSociedad,Villarreal,RealSociedad,1.0,2.0,loss
Villarreal_RealSociedad,Villarreal,RealSociedad,1.0,2.0,loss
RealSociedad_Villarreal,RealSociedad,Villarreal,2.0,1.0,win
Barcelona_CeltaVigo,Barcelona,CeltaVigo,2.0,0.0,win
CeltaVigo_Barcelona,CeltaVigo,Barcelona,0.0,2.0,loss
CeltaVigo_Barcelona,CeltaVigo,Barcelona,0.0,2.0,loss
Barcelona_CeltaVigo,Barcelona,CeltaVigo,2.0,0.0,win
Elche_Mallorca,Elche,Mallorca,2.0,1.0,draw
Mallorca_Elche,Mallorca,Elche,1.0,2.0,draw
Mallorca_Elche,Mallorca,Elche,1.0,2.0,draw
Elche_Mallorca,Elche,Mallorca,2.0,1.0,draw
RayoVallecano_Getafe,RayoVallecano,Getafe,1.0,1.0,draw
Getafe_RayoVallecano,Getafe,RayoVallecano,1.0,1.0,draw
Getafe_RayoVallecano,Getafe,RayoVallecano,1.0,1.0,draw
RayoVallecano_Getafe,RayoVallecano,Getafe,1.0,1.0,draw
GironaFC_Cadiz,GironaFC,Cadiz,1.0,2.0,draw
Cadiz_GironaFC,Cadiz,GironaFC,2.0,1.0,draw
Cadiz_GironaFC,Cadiz,GironaFC,2.0,1.0,draw
GironaFC_Cadiz,GironaFC,Cadiz,1.0,2.0,draw
Valencia_Elche,Valencia,Elche,2.0,2.0,draw
Elche_Valencia,Elche,Valencia,2.0,2.0,draw
Elche_Valencia,Elche,Valencia,2.0,2.0,draw
Valencia_Elche,Valencia,Elche,2.0,2.0,draw
Mallorca_Sevilla,Mallorca,Sevilla,1.0,1.0,loss
Sevilla_Mallorca,Sevilla,Mallorca,1.0,1.0,win
Sevilla_Mallorca,Sevilla,Mallorca,1.0,1.0,win
Mallorca_Sevilla,Mallorca,Sevilla,1.0,1.0,loss
